system:index,UF,UF_codigo_gaul,def_anual_mm,excedente_anual_mm,indice_aridez_ia,indice_hidrico_ih,indice_umidade_im,latitude,longitude,municipio,municipio_codigo_gaul,pet_anual_mm,th_classe,th_classe_codigo,th_petr,th_pety,th_subtipo,thornthwaite_completo,.geo
000000000000000015f8_0,Alagoas,666,840.2000041007996,38.933333814144135,61.373862649064584,2.8439527140168814,-33.98036487542187,-9.544599893769915,-37.257626408857156,Olho D'agua Das Flores,6414,1368.9866790771484,D,8,b2',A',d,DdA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015f9_0,Alagoas,666,905.3399982452393,29.033333212137222,64.05798121519695,2.0542743246983455,-36.38051440441982,-9.454768365357964,-37.796615579328865,Olho D'agua Do Casado,6415,1413.313346862793,D,8,b2',A',d,DdA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015fa_0,Alagoas,666,681.1599940061569,81.49999982118607,49.2076362859158,5.887636361196628,-23.63694541035285,-10.038673300035653,-36.80846876679739,Olho D'agua Grande,6416,1384.2566833496094,D,8,b2',A',d,DdA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015fb_0,Alagoas,666,813.3766651153564,46.033332854509354,59.31946581463991,3.3572056240508603,-32.23447386473308,-9.49968412956394,-37.1677948804452,Olivenca,6417,1371.1800231933594,D,8,b2',A',d,DdA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015fc_0,Alagoas,666,779.8033266067505,34.100000619888306,57.571730159441216,2.517552781760591,-32.025485313904134,-9.140358015916132,-37.347457937269105,Ouro Branco,6418,1354.4899978637695,D,8,b2',A',d,DdA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015fd_0,Alagoas,666,897.3266677856445,31.333333253860474,63.50417435368144,2.2174727771608898,-35.88503183504797,-9.679347186387844,-37.30254217306313,Palestina,6419,1413.0199737548828,D,8,b2',A',d,DdA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015fe_0,Alagoas,666,499.0166620016098,137.63333493471146,38.47280621097387,10.611149940111883,-12.47253378647244,-9.409852601151988,-36.62880570997349,Palmeira Dos Indios,6420,1297.063331604004,C1,7,b2',A',w,C1wA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015ff_0,Alagoas,666,978.3399982452393,25.100000143051147,67.3696626701864,1.728416037054544,-38.693381565057294,-9.679347186387844,-37.482205229887036,Pao De Acucar,6421,1452.1966705322266,D,8,b2',A',d,DdA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001600_0,Alagoas,666,873.4233341217041,32.46666669845581,62.06346894864411,2.3070072458412447,-34.93107412334521,-9.230189544328082,-38.06611016456472,Pariconha,6422,1407.3066635131836,D,8,b2',A',d,DdA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001601_0,Alagoas,666,229.5100054834038,697.3666578531265,17.88431476625669,54.34152986171058,43.61094100195657,-9.454768365357964,-35.59574313323604,Paripueira,6423,1283.303321838379,B2,4,b2',A',s,B2sA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
