system:index,UF,UF_codigo_gaul,camargo_completo,cm_hidrico,cm_hidrico_codigo,cm_letra_seca,cm_termico,cm_termico_codigo,def_anual_mm,excedente_anual_mm,latitude,longitude,municipio,municipio_codigo_gaul,temp_anual_c,temp_mes_mais_frio_c,.geo
000000000000000015ec_0,Alagoas,666,ST-MOv,MO,4,v,ST,6,316.8799995109439,351.96666741371155,-9.454768365357964,-36.35931112473763,Mar Vermelho,6402,21.926527,19.565,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015ed_0,Alagoas,666,TR-MOp,MO,4,p,TR,7,272.1533297300339,463.36666762828827,-8.960694959092226,-35.281332783794205,Maragogi,6403,24.165695,22.495,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015ee_0,Alagoas,666,TR-SEp,SE,3,p,TR,7,811.386661529541,29.866666436195374,-9.230189544328082,-37.39237370147508,Maravilha,6404,23.996666,20.618334,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015ef_0,Alagoas,666,TR-MOv,MO,4,v,TR,7,294.73333218693733,508.2999984025955,-9.72426295059382,-35.91015348267787,Marechal Deodoro,6405,24.661806,22.573334,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015f0_0,Alagoas,666,TR-MOv,MO,4,v,TR,7,377.5166643857956,260.93333649635315,-9.544599893769915,-36.314395360531655,Maribondo,6406,23.276527,20.825,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015f1_0,Alagoas,666,TR-SEp,SE,3,p,TR,7,854.2666702270508,28.799999833106995,-9.050526487504179,-37.75169981512289,Mata Grande,6407,23.524723,20.065,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015f2_0,Alagoas,666,TR-MOv,MO,4,v,TR,7,322.84666481614113,471.9666676521301,-9.095442251710155,-35.55082736903006,Matriz De Camaragibe,6408,24.188473,22.31,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015f3_0,Alagoas,666,TR-MOv,MO,4,v,TR,7,333.2266677878797,506.2666767835617,-9.320021072740035,-35.82032195426592,Messias,6409,23.880278,21.813334,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015f4_0,Alagoas,666,TR-SEp,SE,3,p,TR,7,776.5033254623413,39.933333933353424,-9.320021072740035,-36.85338453100337,Minador Do Negrao,6410,24.047777,21.108334,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015f5_0,Alagoas,666,TR-SEp,SE,3,p,TR,7,851.579999923706,36.23333406448364,-9.589515657975891,-37.30254217306313,Monteiropolis,6411,24.491112,21.196667,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015f6_0,Alagoas,666,TR-MOv,MO,4,v,TR,7,334.02666599303484,403.4333381652832,-9.275105308534059,-35.955069246883845,Murici,6412,23.558056,21.383333,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015f7_0,Alagoas,666,TR-MOv,MO,4,v,TR,7,373.2933375239372,351.13333225250244,-8.960694959092226,-35.640658897442016,Novo Lino,6413,23.575277,21.608334,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015f8_0,Alagoas,666,TR-SEp,SE,3,p,TR,7,840.2000041007996,38.933333814144135,-9.544599893769915,-37.257626408857156,Olho D'agua Das Flores,6414,24.443056,21.2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015f9_0,Alagoas,666,TR-SEp,SE,3,p,TR,7,905.3399982452393,29.033333212137222,-9.454768365357964,-37.796615579328865,Olho D'agua Do Casado,6415,24.513195,21.1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015fa_0,Alagoas,666,TR-SEv,SE,3,v,TR,7,681.1599940061569,81.49999982118607,-10.038673300035653,-36.80846876679739,Olho D'agua Grande,6416,24.700556,21.768333,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015fb_0,Alagoas,666,TR-SEp,SE,3,p,TR,7,813.3766651153564,46.033332854509354,-9.49968412956394,-37.1677948804452,Olivenca,6417,24.47625,21.25,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015fc_0,Alagoas,666,TR-SEp,SE,3,p,TR,7,779.8033266067505,34.100000619888306,-9.140358015916132,-37.347457937269105,Ouro Branco,6418,23.57986,20.226667,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015fd_0,Alagoas,666,TR-SEp,SE,3,p,TR,7,897.3266677856445,31.333333253860474,-9.679347186387844,-37.30254217306313,Palestina,6419,24.997639,21.695,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015fe_0,Alagoas,666,TR-SEv,SE,3,v,TR,7,499.0166620016098,137.63333493471146,-9.409852601151988,-36.62880570997349,Palmeira Dos Indios,6420,22.895277,20.321667,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015ff_0,Alagoas,666,TR-SEp,SE,3,p,TR,7,978.3399982452393,25.100000143051147,-9.679347186387844,-37.482205229887036,Pao De Acucar,6421,25.432917,22.083334,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001600_0,Alagoas,666,TR-SEp,SE,3,p,TR,7,873.4233341217041,32.46666669845581,-9.230189544328082,-38.06611016456472,Pariconha,6422,24.02486,20.665,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001601_0,Alagoas,666,TR-MOv,MO,4,v,TR,7,229.5100054834038,697.3666578531265,-9.454768365357964,-35.59574313323604,Paripueira,6423,24.34764,22.48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001602_0,Alagoas,666,TR-MOp,MO,4,p,TR,7,262.4566665738821,582.8000011444092,-9.275105308534059,-35.46099584061811,Passo De Camaragibe,6424,24.560278,22.791666,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001603_0,Alagoas,666,TR-MOv,MO,4,v,TR,7,313.72999881207943,420.03334081172943,-9.364936836946011,-36.404226888943604,Paulo Jacinto,6425,22.637222,20.231667,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001604_0,Alagoas,666,TR-MOv,MO,4,v,TR,7,458.40333580970764,207.53333401679993,-10.218336356859556,-36.49405841735556,Penedo,6426,24.844028,22.373333,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001605_0,Alagoas,666,TR-MOv,MO,4,v,TR,7,438.61000418663025,207.23333406448364,-10.397999413683461,-36.404226888943604,Piacabucu,6427,25.215973,22.931667,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001606_0,Alagoas,666,TR-MOv,MO,4,v,TR,7,327.4266695380211,429.4666665792465,-9.589515657975891,-35.99998501108982,Pilar,6428,24.317362,22.155,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001607_0,Alagoas,666,TR-MOv,MO,4,v,TR,7,331.5233351290226,370.4666676521301,-9.49968412956394,-36.26947959632568,Pindoba,6429,22.93486,20.553333,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001608_0,Alagoas,666,TR-SEp,SE,3,p,TR,7,955.6233406066895,25.833333492279053,-9.544599893769915,-37.706784050916916,Piranhas,6430,25.018333,21.596666,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001609_0,Alagoas,666,TR-SEp,SE,3,p,TR,7,752.5100064277649,43.63333371281624,-9.320021072740035,-37.347457937269105,Poco Das Trincheiras,6431,23.689861,20.336666,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000160a_0,Alagoas,666,TR-MOp,MO,4,p,TR,7,311.2733333706856,483.4999933242798,-9.005610723298203,-35.416080076412136,Porto Calvo,6432,24.395971,22.701666,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000160b_0,Alagoas,666,TR-MOp,MO,4,p,TR,7,278.3566653430462,525.8999947309494,-9.140358015916132,-35.416080076412136,Porto De Pedras,6433,24.447083,22.798334,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000160c_0,Alagoas,666,TR-SEv,SE,3,v,TR,7,625.6666725873947,112.16666573286057,-10.128504828447605,-36.71863723838544,Porto Real Do Colegio,6434,25.015556,22.201666,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000160d_0,Alagoas,666,TR-MOv,MO,4,v,TR,7,321.1433361172676,415.33333933353424,-9.320021072740035,-36.49405841735556,Quebrangulo,6435,22.734583,20.263332,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000160e_0,Alagoas,666,TR-MOv,MO,4,v,TR,7,316.50666439533234,540.1999871730804,-9.454768365357964,-35.865237718471896,Rio Largo,6436,24.089027,21.983334,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000160f_0,Alagoas,666,TR-MOv,MO,4,v,TR,7,343.70333006978035,371.7666654586792,-9.859010243211747,-35.99998501108982,Roteiro,6437,24.356112,22.195,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001610_0,Alagoas,666,TR-MOv,MO,4,v,TR,7,245.27666890621185,700.0666780471802,-9.589515657975891,-35.82032195426592,Santa Luzia Do Norte,6438,24.574028,22.548334,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001611_0,Alagoas,666,TR-SEp,SE,3,p,TR,7,777.4433288574219,52.666667103767395,-9.364936836946011,-37.212710644651175,Santana Do Ipanema,6439,24.023195,20.775,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001612_0,Alagoas,666,TR-MOv,MO,4,v,TR,7,313.3033258765936,406.7333285808563,-9.140358015916132,-36.179648067913725,Santana Do Mundau,6440,23.40611,21.066668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001613_0,Alagoas,666,TR-SEv,SE,3,v,TR,7,755.1766741275787,63.13333284854889,-10.128504828447605,-36.85338453100337,Sao Bras,6441,25.561527,22.721666,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001614_0,Alagoas,666,TR-MOv,MO,4,v,TR,7,345.67333313822746,362.59999430179596,-9.005610723298203,-36.0449007752958,Sao Jose Da Laje,6442,22.95514,20.666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001615_0,Alagoas,666,TR-SEp,SE,3,p,TR,7,902.2333364486694,25.633333534002304,-9.544599893769915,-37.482205229887036,Sao Jose Da Tapera,6443,24.574305,21.178333,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001616_0,Alagoas,666,TR-MOv,MO,4,v,TR,7,310.2566715106368,569.5666640996933,-9.275105308534059,-35.640658897442016,Sao Luis Do Quitunde,6444,24.031944,22.091667,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001617_0,Alagoas,666,TR-MOv,MO,4,v,TR,7,394.9799928367138,282.9333344697952,-9.814094479005773,-36.089816539501776,Sao Miguel Dos Campos,6445,24.05,21.698334,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001618_0,Alagoas,666,TR-MOp,MO,4,p,TR,7,285.27999967336655,511.50000607967377,-9.230189544328082,-35.416080076412136,Sao Miguel Dos Milagres,6446,24.50361,22.866667,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001619_0,Alagoas,666,TR-SEv,SE,3,v,TR,7,528.5466623306274,118.09999871253967,-9.9488417716237,-36.538974181561535,Sao Sebastiao,6447,23.97611,21.346666,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000161a_0,Alagoas,666,TR-MOv,MO,4,v,TR,7,268.23000222444534,613.5666613578796,-9.589515657975891,-35.865237718471896,Satuba,6448,24.204584,22.095,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000161b_0,Alagoas,666,TR-SEp,SE,3,p,TR,7,856.7966642379761,28.26666635274887,-9.364936836946011,-37.52712099409301,Senador Rui Palmeira,6449,24.094723,20.663334,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000161c_0,Alagoas,666,TR-SEv,SE,3,v,TR,7,451.7966679930687,167.06666654348373,-9.544599893769915,-36.404226888943604,Tanque D'arca,6450,23.82611,21.293333,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000161d_0,Alagoas,666,TR-SEv,SE,3,v,TR,7,534.8333340883255,100.76666766405106,-9.634431422181867,-36.49405841735556,Taquarana,6451,23.566944,20.971666,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000161e_0,Alagoas,666,TR-SEv,SE,3,v,TR,7,499.87333619594574,151.0000021457672,-9.9488417716237,-36.35931112473763,Teotonio Vilela,6452,24.113195,21.638334,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000161f_0,Alagoas,666,TR-SEp,SE,3,p,TR,7,810.9166569709778,51.5,-9.903926007417724,-36.988131823621295,Traipu,6453,24.828194,21.853333,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001620_0,Alagoas,666,TR-MOv,MO,4,v,TR,7,300.2066646181047,439.9666795730591,-9.140358015916132,-35.99998501108982,Uniao Dos Palmares,6454,22.75625,20.555,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001621_0,Alagoas,666,TR-MOv,MO,4,v,TR,7,307.4600016772747,420.6000064611435,-9.364936836946011,-36.26947959632568,Vicosa,6455,23.085,20.710001,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001622_0,Bahia,669,ST-SEi,SE,3,i,ST,6,678.0200023651123,114.83333176374435,-13.27260832286593,-41.74920282945476,Abaira,6534,21.024305,18.633333,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001623_0,Bahia,669,TR-SEp,SE,3,p,TR,7,1176.879997253418,25.633333582431078,-8.825947666474299,-39.32375156233205,Abare,6535,24.955418,21.323334,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001624_0,Bahia,669,TR-SEv,SE,3,v,TR,7,468.8133302927017,115.90000128746033,-11.655640811450791,-38.021194400358745,Acajutiba,6536,24.111668,21.621666,"{""type"":""MultiPoint"",""coordinates"":[]}"
