code_muni,name_muni,abbrev_state,camargo_completo,cm_termico,cm_termico_codigo,cm_hidrico,cm_hidrico_codigo,cm_letra_seca,def_anual_mm,excedente_anual_mm,temp_anual_c,temp_mes_mais_frio_c,preenchido_por_vizinho
2703007.0,Ibateguara,AL,ST-MOp,ST,6.0,MO,4.0,p,218.05666539818048,531.9000041484833,21.526806,19.338333,False
2703106.0,Igaci,AL,TR-SEv,TR,7.0,SE,3.0,v,754.9133323431015,38.16666668653488,24.070694,21.323334,False
2703205.0,Igreja Nova,AL,TR-SEv,TR,7.0,SE,3.0,v,595.7299963980913,132.63333451747894,25.380417,22.731667,False
2703304.0,Inhapi,AL,TR-SEp,TR,7.0,SE,3.0,p,898.8066673278809,28.39999982714653,24.503195,20.916666,False
2703403.0,Jacaré dos Homens,AL,TR-SEp,TR,7.0,SE,3.0,p,893.7233324050903,33.96666651964188,24.979305,21.755,False
2703502.0,Jacuípe,AL,TR-MOv,TR,7.0,MO,4.0,v,312.133339881897,488.19999837875366,23.703888,21.865,False
2703601.0,Japaratinga,AL,TR-MOp,TR,7.0,MO,4.0,p,346.7700017094612,377.8999924659729,24.569584,22.991667,False
2703700.0,Jaramataia,AL,TR-SEp,TR,7.0,SE,3.0,p,846.8699927330017,43.46666687726975,24.753334,21.768333,False
2703759.0,Jequiá da Praia,AL,TR-MOv,TR,7.0,MO,4.0,v,343.70333006978035,371.7666654586792,24.356112,22.195,True
2703809.0,Joaquim Gomes,AL,TR-MOv,TR,7.0,MO,4.0,v,340.2366669476032,405.5000030994415,23.544027,21.483334,False
2703908.0,Jundiá,AL,TR-MOv,TR,7.0,MO,4.0,v,343.2533299922943,419.36667013168335,23.675417,21.773333,False
2704005.0,Junqueiro,AL,TR-SEv,TR,7.0,SE,3.0,v,528.626663684845,108.86666774749756,23.93125,21.366667,False
2704104.0,Lagoa da Canoa,AL,TR-SEv,TR,7.0,SE,3.0,v,667.5166678726673,71.73333352804184,23.623333,20.81,False
2704203.0,Limoeiro de Anadia,AL,TR-SEv,TR,7.0,SE,3.0,v,521.5466672182083,110.66666674613953,23.704306,21.123333,False
2704302.0,Maceió,AL,TR-MOv,TR,7.0,MO,4.0,v,267.986667573452,708.8666790723801,24.240139,22.24,False
2704401.0,Major Isidoro,AL,TR-SEp,TR,7.0,SE,3.0,p,824.0333337783813,48.49999976158142,24.558195,21.56,False
2704500.0,Maragogi,AL,TR-MOp,TR,7.0,MO,4.0,p,272.1533297300339,463.3666676282882,24.165695,22.495,False
2704609.0,Maravilha,AL,TR-SEp,TR,7.0,SE,3.0,p,811.386661529541,29.866666436195374,23.996666,20.618334,False
2704708.0,Marechal Deodoro,AL,TR-MOv,TR,7.0,MO,4.0,v,294.73333218693733,508.2999984025955,24.661806,22.573334,False
2704807.0,Maribondo,AL,TR-MOv,TR,7.0,MO,4.0,v,377.5166643857956,260.93333649635315,23.276527,20.825,False
2704906.0,Mar Vermelho,AL,ST-MOv,ST,6.0,MO,4.0,v,316.8799995109439,351.96666741371155,21.926527,19.565,False
2705002.0,Mata Grande,AL,TR-SEp,TR,7.0,SE,3.0,p,854.2666702270508,28.799999833106995,23.524723,20.065,False
2705101.0,Matriz de Camaragibe,AL,TR-MOv,TR,7.0,MO,4.0,v,322.8466648161412,471.9666676521301,24.188473,22.31,False
2705200.0,Messias,AL,TR-MOv,TR,7.0,MO,4.0,v,333.2266677878797,506.2666767835617,23.880278,21.813334,False
2705309.0,Minador do Negrão,AL,TR-SEp,TR,7.0,SE,3.0,p,776.5033254623413,39.933333933353424,24.047777,21.108334,False
2705408.0,Monteirópolis,AL,TR-SEp,TR,7.0,SE,3.0,p,851.579999923706,36.23333406448364,24.491112,21.196667,False
2705507.0,Murici,AL,TR-MOv,TR,7.0,MO,4.0,v,334.02666599303484,403.4333381652832,23.558056,21.383333,False
2705606.0,Novo Lino,AL,TR-MOv,TR,7.0,MO,4.0,v,373.2933375239372,351.13333225250244,23.575277,21.608334,False
2705705.0,Olho d'Água das Flores,AL,TR-SEp,TR,7.0,SE,3.0,p,840.2000041007996,38.933333814144135,24.443056,21.2,False
2705804.0,Olho d'Água do Casado,AL,TR-SEp,TR,7.0,SE,3.0,p,905.3399982452391,29.033333212137222,24.513195,21.1,False
2705903.0,Olho d'Água Grande,AL,TR-SEv,TR,7.0,SE,3.0,v,681.1599940061569,81.49999982118607,24.700556,21.768333,False
2706000.0,Olivença,AL,TR-SEp,TR,7.0,SE,3.0,p,813.3766651153564,46.03333285450936,24.47625,21.25,False
2706109.0,Ouro Branco,AL,TR-SEp,TR,7.0,SE,3.0,p,779.8033266067505,34.100000619888306,23.57986,20.226667,False
2706208.0,Palestina,AL,TR-SEp,TR,7.0,SE,3.0,p,897.3266677856445,31.333333253860477,24.997639,21.695,False
2706307.0,Palmeira dos Índios,AL,TR-SEv,TR,7.0,SE,3.0,v,499.0166620016098,137.63333493471146,22.895277,20.321667,False
2706406.0,Pão de Açúcar,AL,TR-SEp,TR,7.0,SE,3.0,p,978.3399982452391,25.100000143051147,25.432917,22.083334,False
2706422.0,Pariconha,AL,TR-SEp,TR,7.0,SE,3.0,p,873.4233341217041,32.46666669845581,24.02486,20.665,False
2706448.0,Paripueira,AL,TR-MOv,TR,7.0,MO,4.0,v,229.5100054834038,697.3666578531265,24.34764,22.48,False
2706505.0,Passo de Camaragibe,AL,TR-MOp,TR,7.0,MO,4.0,p,262.4566665738821,582.8000011444092,24.560278,22.791666,False
2706604.0,Paulo Jacinto,AL,TR-MOv,TR,7.0,MO,4.0,v,313.72999881207943,420.03334081172943,22.637222,20.231667,False
2706703.0,Penedo,AL,TR-MOv,TR,7.0,MO,4.0,v,458.4033358097077,207.53333401679996,24.844028,22.373333,False
2706802.0,Piaçabuçu,AL,TR-MOv,TR,7.0,MO,4.0,v,438.6100041866303,207.23333406448364,25.215973,22.931667,False
2706901.0,Pilar,AL,TR-MOv,TR,7.0,MO,4.0,v,327.4266695380211,429.4666665792465,24.317362,22.155,False
2707008.0,Pindoba,AL,TR-MOv,TR,7.0,MO,4.0,v,331.5233351290226,370.4666676521301,22.93486,20.553333,False
2707107.0,Piranhas,AL,TR-SEp,TR,7.0,SE,3.0,p,955.6233406066896,25.833333492279053,25.018333,21.596666,False
2707206.0,Poço das Trincheiras,AL,TR-SEp,TR,7.0,SE,3.0,p,752.5100064277649,43.63333371281624,23.689861,20.336666,False
2707305.0,Porto Calvo,AL,TR-MOp,TR,7.0,MO,4.0,p,311.2733333706856,483.4999933242798,24.395971,22.701666,False
2707404.0,Porto de Pedras,AL,TR-MOp,TR,7.0,MO,4.0,p,278.3566653430462,525.8999947309494,24.447083,22.798334,False
2707503.0,Porto Real do Colégio,AL,TR-SEv,TR,7.0,SE,3.0,v,625.6666725873947,112.16666573286057,25.015556,22.201666,False
2707602.0,Quebrangulo,AL,TR-MOv,TR,7.0,MO,4.0,v,321.1433361172676,415.33333933353424,22.734583,20.263332,False
2707701.0,Rio Largo,AL,TR-MOv,TR,7.0,MO,4.0,v,316.50666439533234,540.1999871730804,24.089027,21.983334,False
2707800.0,Roteiro,AL,TR-MOv,TR,7.0,MO,4.0,v,343.70333006978035,371.7666654586792,24.356112,22.195,False
2707909.0,Santa Luzia do Norte,AL,TR-MOv,TR,7.0,MO,4.0,v,245.27666890621185,700.0666780471802,24.574028,22.548334,False
