code_muni,name_muni,abbrev_state,classe_koppen,classe_koppen_codigo,precip_anual_mm,precip_mes_mais_seco_mm,temp_anual_c,temp_mes_mais_frio_c,temp_mes_mais_quente_c,preenchido_por_vizinho
2802304.0,Frei Paulo,SE,As,3.0,707.1666666666666,24.666666666666668,23.891250000000003,21.14333333333333,26.00333333333333,False
2802403.0,Gararu,SE,As,3.0,580.9,16.033333333333335,24.90166666666666,21.856666666666666,27.11,False
2802502.0,General Maynard,SE,As,3.0,1302.4666666666667,29.766666666666666,25.57125,23.468333333333337,27.301666666666677,False
2802601.0,Gracho Cardoso,SE,As,3.0,683.9666666666667,19.766666666666666,24.16125,21.173333333333336,26.40333333333334,False
2802700.0,Ilha das Flores,SE,As,3.0,1124.8333333333333,26.73333333333333,25.31930555555556,23.011666666666667,27.12666666666666,False
2802809.0,Indiaroba,SE,As,3.0,1385.5333333333335,40.2,25.10041666666667,22.87166666666667,26.90333333333333,False
2802908.0,Itabaiana,SE,As,3.0,1039.6666666666667,34.233333333333334,24.321666666666665,21.791666666666664,26.32333333333333,False
2803005.0,Itabaianinha,SE,As,3.0,845.0333333333332,32.7,24.226944444444445,21.72833333333334,26.20166666666667,False
2803104.0,Itabi,SE,As,3.0,660.9999999999999,17.933333333333334,24.600694444444446,21.60833333333333,26.87666666666667,False
2803203.0,Itaporanga d'Ajuda,SE,As,3.0,1438.9999999999998,40.0,25.138611111111118,23.04333333333333,26.86166666666667,False
2803302.0,Japaratuba,SE,As,3.0,1187.7666666666664,27.6,25.410416666666677,23.02166666666667,27.31833333333334,False
2803401.0,Japoatã,SE,As,3.0,1040.6333333333332,25.1,24.29847222222222,21.75333333333333,26.293333333333337,False
2803500.0,Lagarto,SE,As,3.0,1002.0666666666666,35.9,24.40388888888889,21.885,26.395,False
2803609.0,Laranjeiras,SE,As,3.0,1292.7,34.266666666666666,25.47388888888889,23.346666666666668,27.236666666666665,False
2803708.0,Macambira,SE,As,3.0,860.1999999999998,31.03333333333333,24.314722222222223,21.706666666666663,26.33833333333333,False
2803807.0,Malhada dos Bois,SE,As,3.0,829.9999999999999,20.766666666666666,25.078055555555554,22.286666666666665,27.203333333333333,False
2803906.0,Malhador,SE,As,3.0,1143.4666666666667,34.13333333333333,24.004583333333333,21.621666666666663,25.92,False
2804003.0,Maruim,SE,As,3.0,1296.8666666666668,32.666666666666664,25.441944444444445,23.290000000000006,27.20833333333333,False
2804102.0,Moita Bonita,SE,As,3.0,916.4333333333332,29.433333333333334,23.91916666666667,21.32333333333333,25.951666666666664,False
2804201.0,Monte Alegre de Sergipe,SE,BSh,5.0,608.6666666666667,18.2,24.458472222222223,21.29,26.645000000000003,False
2804300.0,Muribeca,SE,As,3.0,896.0333333333333,22.33333333333333,24.630416666666665,21.953333333333333,26.71333333333333,False
2804409.0,Neópolis,SE,As,3.0,1024.8666666666666,22.73333333333333,24.73069444444444,22.201666666666664,26.701666666666664,False
2804458.0,Nossa Senhora Aparecida,SE,As,3.0,626.6,20.7,24.156250000000004,21.205,26.350000000000005,False
2804508.0,Nossa Senhora da Glória,SE,As,3.0,642.3333333333333,20.766666666666666,24.028611111111115,20.961666666666662,26.25333333333333,False
2804607.0,Nossa Senhora das Dores,SE,As,3.0,871.2666666666667,26.9,24.616111111111117,21.97833333333334,26.68500000000001,False
2804706.0,Nossa Senhora de Lourdes,SE,As,3.0,687.5666666666666,17.0,24.763055555555557,21.75333333333333,27.05,False
2804805.0,Nossa Senhora do Socorro,SE,As,3.0,1328.6999999999998,35.6,25.46055555555556,23.390000000000004,27.17166666666667,False
2804904.0,Pacatuba,SE,As,3.0,1134.1666666666667,28.53333333333333,25.41958333333333,23.10166666666667,27.22833333333333,False
2805000.0,Pedra Mole,SE,As,3.0,768.3333333333335,28.73333333333333,23.780000000000005,21.025,25.88833333333334,False
