system:index,UF,UF_codigo_gaul,classe_koppen,classe_koppen_codigo,latitude,longitude,municipio,municipio_codigo_gaul,precip_anual_mm,precip_mes_mais_seco_mm,temp_anual_c,temp_mes_mais_frio_c,temp_mes_mais_quente_c,.geo
0006000000000000035f_0,Minas Gerais,677,Aw,4,-17.764184743463538,-46.510273835288224,Lagoa Grande,8299,1309.466666666667,2.566666666666667,23.635138888888893,20.66666666666667,25.783333333333328,"{""type"":""MultiPoint"",""coordinates"":[]}"
00060000000000000360_0,Minas Gerais,677,Cwb,16,-21.986266578825287,-45.387379730138825,Lambari,8302,1635.6666666666667,18.6,19.018194444444443,14.991666666666667,21.93166666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
00060000000000000361_0,Minas Gerais,677,Aw,4,-19.426068019084653,-50.642524142238024,Limeira Do Oeste,8312,1331.8,11.666666666666666,23.465138888888887,20.343333333333337,25.038333333333338,"{""type"":""MultiPoint"",""coordinates"":[]}"
00060000000000000362_0,Minas Gerais,677,Cwa,15,-19.830309896938438,-45.65687431537468,Luz,8317,1411.9333333333332,6.833333333333333,21.47430555555556,17.633333333333333,23.848333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
00060000000000000363_0,Minas Gerais,677,Cwa,15,-21.671856229383454,-45.926368900610534,Machado,8319,1652.9666666666667,21.433333333333334,20.20763888888889,16.295,22.76833333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
00060000000000000364_0,Minas Gerais,677,Cwb,16,-22.30067692826712,-45.29754820172687,Maria Da Fe,8329,1800.6666666666665,25.033333333333335,16.451805555555556,12.218333333333332,20.451666666666668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00060000000000000365_0,Minas Gerais,677,Cwb,16,-22.480339985091025,-45.162800909108945,Marmelopolis,8335,1852.9,25.366666666666667,15.495,11.266666666666667,19.644999999999996,"{""type"":""MultiPoint"",""coordinates"":[]}"
00060000000000000366_0,Minas Gerais,677,Cwb,16,-19.201489198054773,-46.01620042902249,Matutina,8347,1523.8666666666668,7.4,20.1175,17.003333333333334,21.940000000000005,"{""type"":""MultiPoint"",""coordinates"":[]}"
00060000000000000367_0,Minas Gerais,677,Cwb,16,-20.00997295376234,-46.33061077846432,Medeiros,8348,1598.2666666666669,9.466666666666667,19.70277777777778,16.091666666666665,21.871666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
00060000000000000368_0,Minas Gerais,677,Cwa,15,-19.830309896938438,-45.387379730138825,Moema,8360,1406.8666666666668,6.566666666666666,21.56916666666667,17.88,23.82,"{""type"":""MultiPoint"",""coordinates"":[]}"
00060000000000000369_0,Minas Gerais,677,Cwa,15,-21.716771993589433,-45.477211258550774,Monsenhor Paulo,8362,1559.5333333333333,18.0,19.904861111111114,15.883333333333335,22.588333333333345,"{""type"":""MultiPoint"",""coordinates"":[]}"
0006000000000000036a_0,Minas Gerais,677,Aw,4,-18.842163084406963,-48.89080933820495,Monte Alegre De Minas,8364,1458.5,5.133333333333334,22.43444444444445,19.111666666666665,24.72833333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
0006000000000000036b_0,Minas Gerais,677,Cwa,15,-21.312530115735647,-46.33061077846432,Monte Belo,8366,1585.8333333333335,15.7,20.306944444444447,16.461666666666666,22.67833333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
0006000000000000036c_0,Minas Gerais,677,Aw,4,-18.707415791789035,-47.453504883613725,Monte Carmelo,8367,1515.1,2.033333333333333,21.36791666666667,18.383333333333333,23.249999999999996,"{""type"":""MultiPoint"",""coordinates"":[]}"
0006000000000000036d_0,Minas Gerais,677,Cwa,15,-21.17778282311772,-46.959431477347984,Monte Santo De Minas,8369,1576.9333333333332,13.433333333333334,20.316388888888888,16.811666666666667,22.383333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
0006000000000000036e_0,Minas Gerais,677,Cwb,16,-22.43542422088505,-46.510273835288224,Monte Siao,8370,1555.4666666666665,23.0,19.587500000000002,15.965,21.97833333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
0006000000000000036f_0,Minas Gerais,677,Aw,4,-18.572668499171105,-45.387379730138825,Morada Nova De Minas,8373,1175.8333333333335,3.3333333333333335,22.991111111111113,19.776666666666664,24.95,"{""type"":""MultiPoint"",""coordinates"":[]}"
00060000000000000370_0,Minas Gerais,677,Cwb,16,-22.61508727770895,-46.285695014258344,Munhoz,8376,1751.566666666667,28.333333333333332,16.23458333333333,12.363333333333333,19.63333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
00060000000000000371_0,Minas Gerais,677,Cwb,16,-21.357445879941622,-46.510273835288224,Muzambinho,8379,1583.9666666666667,14.233333333333333,19.463888888888892,15.78166666666667,21.709999999999997,"{""type"":""MultiPoint"",""coordinates"":[]}"
00060000000000000372_0,Minas Gerais,677,Aw,4,-16.551459109902183,-46.46535807108225,Natalandia,8383,1154.5333333333333,2.466666666666667,23.89680555555556,20.82,26.363333333333337,"{""type"":""MultiPoint"",""coordinates"":[]}"
00060000000000000373_0,Minas Gerais,677,Cwa,15,-22.121013871443218,-45.52212702275675,Natercia,8384,1617.2333333333331,19.933333333333334,19.186111111111114,15.086666666666666,22.20666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
00060000000000000374_0,Minas Gerais,677,Cwa,15,-21.222698587323695,-45.252632437520894,Nepomuceno,8386,1523.433333333333,16.666666666666668,20.248194444444444,16.346666666666668,22.89666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
00060000000000000375_0,Minas Gerais,677,Aw,4,-19.246404962260748,-47.72299946884958,Nova Ponte,8392,1604.1333333333332,5.9,20.733472222222222,18.031666666666663,22.553333333333335,"{""type"":""MultiPoint"",""coordinates"":[]}"
00060000000000000376_0,Minas Gerais,677,Cwb,16,-21.087951294705768,-46.420442306876275,Nova Resende,8394,1640.8333333333333,15.1,18.782777777777778,15.161666666666667,20.936666666666664,"{""type"":""MultiPoint"",""coordinates"":[]}"
00060000000000000377_0,Minas Gerais,677,Cwa,15,-22.07609810723724,-45.29754820172687,Olimpio Noronha,8402,1600.8333333333337,18.766666666666666,19.548750000000002,15.253333333333336,22.42,"{""type"":""MultiPoint"",""coordinates"":[]}"
